Malicious Package Name,Original Package Name,Ecosystem,Categories,Note/Comment,Detection Date,Campaign description,Maliciousness type,Source
arm-domainservices,@azure/arm-domainservices,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-eventgrid,@azure/arm-eventgrid,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-eventhub,@azure/arm-eventhub,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-extendedlocation,@azure/arm-extendedlocation,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-features,@azure/arm-features,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-frontdoor,@azure/arm-frontdoor,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
Arm-hanaonazure,@azure/arm-hanaonazure,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-hdinsight,@azure/arm-hdinsight,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-healthbot,@azure/arm-healthbot,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-healthcareapis,@azure/arm-healthcareapis,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-hybridcompute,@azure/arm-hybridcompute,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-hybridkubernetes,@azure/arm-hybridkubernetes,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-imagebuilder,@azure/arm-imagebuilder,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-iotcentral,@azure/arm-iotcentral,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-iothub,@azure/arm-iothub,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-keyvault,@azure/arm-keyvault,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-kubernetesconfiguration,@azure/arm-kubernetesconfiguration,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-labservices,@azure/arm-labservices,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-links,@azure/arm-links,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-loadtestservice,@azure/arm-loadtestservice,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-locks,@azure/arm-locks,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-logic,@azure/arm-logic,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-machinelearningcompute,@azure/arm-machinelearningcompute,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-machinelearningexperimentation,@azure/arm-machinelearningexperimentation,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-machinelearningservices,@azure/arm-machinelearningservices,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-managedapplications,@azure/arm-managedapplications,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-managementgroups,@azure/arm-managementgroups,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-managementpartner,@azure/arm-managementpartner,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-maps,@azure/arm-maps,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-mariadb,@azure/arm-mariadb,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-marketplaceordering,@azure/arm-marketplaceordering,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-mediaservices,@azure/arm-mediaservices,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-migrate,@azure/arm-migrate,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-mixedreality,@azure/arm-mixedreality,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-mobilenetwork,@azure/arm-mobilenetwork,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-monitor,@azure/arm-monitor,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-msi,@azure/arm-msi,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-mysql,@azure/arm-mysql,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-netapp,@azure/arm-netapp,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-network,@azure/arm-network,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-notificationhubs,@azure/arm-notificationhubs,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-oep,@azure/arm-oep,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-operationalinsights,@azure/arm-operationalinsights,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-operations,@azure/arm-operations,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-orbital,@azure/arm-orbital,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-peering,@azure/arm-peering,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-policy,@azure/arm-policy,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-portal,@azure/arm-portal,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-postgresql,@azure/arm-postgresql,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-postgresql-flexible,@azure/arm-postgresql-flexible,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-powerbidedicated,@azure/arm-powerbidedicated,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-powerbiembedded,@azure/arm-powerbiembedded,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-privatedns,@azure/arm-privatedns,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-purview,@azure/arm-purview,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-quota,@azure/arm-quota,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-recoveryservices,@azure/arm-recoveryservices,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-recoveryservices-siterecovery,@azure/arm-recoveryservices-siterecovery,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-recoveryservicesbackup,@azure/arm-recoveryservicesbackup,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-rediscache,@azure/arm-rediscache,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-redisenterprisecache,@azure/arm-redisenterprisecache,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-relay,@azure/arm-relay,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-reservations,@azure/arm-reservations,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-resourcegraph,@azure/arm-resourcegraph,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-resourcehealth,@azure/arm-resourcehealth,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-resourcemover,@azure/arm-resourcemover,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-resources,@azure/arm-resources,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-resources-subscriptions,@azure/arm-resources-subscriptions,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-search,@azure/arm-search,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-security,@azure/arm-security,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-serialconsole,@azure/arm-serialconsole,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-servicebus,@azure/arm-servicebus,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-servicefabric,@azure/arm-servicefabric,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-servicefabricmesh,@azure/arm-servicefabricmesh,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-servicemap,@azure/arm-servicemap,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-signalr,@azure/arm-signalr,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-sql,@azure/arm-sql,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-sqlvirtualmachine,@azure/arm-sqlvirtualmachine,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-storage,@azure/arm-storage,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-storagecache,@azure/arm-storagecache,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-storageimportexport,@azure/arm-storageimportexport,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-storagesync,@azure/arm-storagesync,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-storsimple1200series,@azure/arm-storsimple1200series,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-storsimple8000series,@azure/arm-storsimple8000series,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-streamanalytics,@azure/arm-streamanalytics,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-subscriptions,@azure/arm-subscriptions,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-support,@azure/arm-support,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-synapse,@azure/arm-synapse,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-templatespecs,@azure/arm-templatespecs,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-timeseriesinsights,@azure/arm-timeseriesinsights,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-trafficmanager,@azure/arm-trafficmanager,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-videoanalyzer,@azure/arm-visualstudio,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-visualstudio,@azure/arm-vmwarecloudsimple,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-vmwarecloudsimple,@azure/arm-webpubsub,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-webpubsub,@azure/arm-webservices,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-webservices,@azure/arm-workspaces,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-workspaces,@azure/arm-workspaces,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
communication-chat,@azure/communication-chat,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
communication-common,@azure/communication-common,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
communication-identity,@azure/communication-identity,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
communication-network-traversal,@azure/communication-network-traversal,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
communication-phone-numbers,@azure/communication-phone-numbers,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
communication-sms,@azure/communication-sms,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
core-amqp,@azure/core-amqp,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
core-asynciterator-polyfill,@azure/core-asynciterator-polyfill,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
core-auth,@azure/core-auth,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
core-client-1,@azure/core-client,npm,"(11,4)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
core-http,@azure/core-http,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
core-http-compat,@azure/core-http-compat,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
core-lro,@azure/core-lro,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
core-paging,@azure/core-paging,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
core-rest-pipeline,@azure/core-rest-pipeline,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
core-tracing,@azure/core-tracing,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
core-xml,@azure/core-xml,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
digital-twins-core,@azure/digital-twins-core,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
dtdl-parser,@azure/dtdl-parser,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
eslint-plugin-azure-sdk,@azure/eslint-plugin-azure-sdk,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
eventhubs-checkpointstore-blob,@azure/eventhubs-checkpointstore-blob,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
eventhubs-checkpointstore-table,@azure/eventhubs-checkpointstore-table,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
identity-cache-persistence,@azure/identity-cache-persistence,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
identity-vscode,@azure/identity-vscode,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
iot-device-update,@azure/iot-device-update,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
iot-modelsrepository,@azure/iot-modelsrepository,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
keyvault-admin,@azure/keyvault-admin,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
mixed-reality-authentication,@azure/mixed-reality-authentication,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
mixed-reality-remote-rendering,@azure/mixed-reality-remote-rendering,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
monitor-opentelemetry-exporter,@azure/monitor-opentelemetry-exporter,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
opentelemetry-instrumentation-azure-sdk,@azure/opentelemetry-exporter-azure-monitor,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
quantum-jobs,@azure/quantum-jobs,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
storage-blob-changefeed,@azure/storage-blob-changefeed,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
storage-file-datalake,@azure/storage-file-datalake,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
storage-queue,@azure/storage-queue,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
synapse-access-control,@azure/synapse-access-control,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
synapse-artifacts,@azure/synapse-artifacts,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
synapse-managed-private-endpoints,@azure/synapse-managed-private-endpoints,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
synapse-monitoring,@azure/synapse-monitoring,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
synapse-spark,@azure/synapse-spark,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
video-analyzer-edge,@azure/video-analyzer-edge,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
web-pubsub,@azure/web-pubsub,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
web-pubsub-express,@azure/web-pubsub-express,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
eslint-config-cadl,@cadl-lang/eslint-config-cadl,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
openapi3,@cadl-lang/openapi3,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
prettier-plugin-cadl,@cadl-lang/prettier-plugin-cadl,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
node-opencv,opencv,npm,"(4,)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/blog/typosquatting-attacks/
node-opensl,openssl,npm,"(4, 1)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/blog/typosquatting-attacks/
node-openssl,openssl,npm,"(4,)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/blog/typosquatting-attacks/
node-sqlite,sqlite,npm,"(4,)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/blog/typosquatting-attacks/
node-tkinter,tkinter,npm,"(4,)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/blog/typosquatting-attacks/
cross-env.js,cross-env,npm,"(4,)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/vuln/npm:cross-env.js:20170802
crossenv,cross-env,npm,"(3,)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/vuln/npm:crossenv:20170802
