Malicious Package Name,Original Package Name,Ecosystem,Categories,Note/Comment,Detection Date,Campaign description,Maliciousness type,Source
diamond-clien,diamond-client,npm,"(1,)",,12/7/19,"remote server, downloads a file and executes it.",Code Injection,https://github.com/advisories/GHSA-86gv-xpwv-jprc
bs-sha3,js-sha3,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-88xx-23mf-rcj2
jw-sha3,js-sha3,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-8g3r-968r-c644
btffer-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-8hrq-9wm7-v3jw
uglyfi.js,uglify-js,npm,"(3, 13)",,2/10/19,Opens backdoor,Backdoor,https://github.com/advisories/GHSA-8jf2-cq6v-w234
hdkye,hdkey,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-8pwx-j4r6-5v38
ripedm160,ripemd160,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-9272-59x2-gwf2
js-rha3,js-sha3,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-95cg-3r4g-7w6j
babel-loqder,babel-loader,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-9cph-cqqh-36pw
aasync,async,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://github.com/advisories/GHSA-9mjp-gv34-3jcf
fuffer-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-c2g6-57fp-22wp
ecuvre,ecurve,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-cgvm-rvfv-c92r
singale,signale,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-crfh-jmv2-2f9v
buffar-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-f64g-whxf-w8f2
path-to-regxep,path-to-regexp,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-f7gc-6hcj-wc42
js-she3,js-sha3,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-f8jj-45fj-44r6
bictore-lib,bitcore-lib,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-f8vf-6hwg-hw55
ecruve,ecurve,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-fpf2-pr3j-4cm3
hulp,gulp,npm,"(1,)",,3/6/19,Command and control server,Backdoor,https://github.com/advisories/GHSA-fqw7-8v6m-2f86
js-shi3,js-sha3,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-g37j-v5gh-g25c
jc-sha3,js-sha3,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-gfj6-p24g-6hpm
ripmed160,ripemd160,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-gmjp-776j-2394
js-sla3,js-sha3,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-h6m3-cx24-9626
wbe3,web3,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-hg7w-2pf7-mxm2
lodahs,lodash,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-hm6q-r2jc-cpqh
js-sha7,js-sha3,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-hvgc-mggg-pxr2
bictoinjs-lib,bitcoinjs-lib,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-hwh3-fhf6-73x9
ns-sha3,js-sha3,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-j67m-jg9p-ppg4
electron-native-notify,electron-native-notification,npm,"(8,)",,5/6/19,steal Cryptocurrency wallet seeds,Crypto theft,https://github.com/advisories/GHSA-j8qr-rvcv-crhv
js-sxa3,js-sha3,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-jh67-3wqw-cvhr
bictoind-rpc,bitcoind-rpc,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-jqvv-r4w3-8f7w
b5ffer-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-jvfv-jhw9-jmpp
wallet-address-vaildator,wallet-address-validator,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-m6q2-9pfm-2wvr
signqle,signale,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-m794-qv59-gj7c
loadyaml,yaml,npm,"(4,)",,1/10/20,Preinstall code for public github comment,,https://github.com/advisories/GHSA-mfc2-93pr-jf92
4equest,request,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://github.com/advisories/GHSA-p33q-w45h-2hcj
j3-sha3,js-sha3,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-p3jx-g34v-q56j
bitcionjslib,bitcoinjs-lib,npm,"(3,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-p4mf-4qvh-w8g5
siganle,signale,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-p5p2-rhc3-wmf3
bufber-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-p9g3-vpvp-hcj5
wallet-address-validtaor,wallet-address-validator,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-pc7q-c837-3wjq
saync,async,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://github.com/advisories/GHSA-pm9v-325f-5g74
bqffer-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Code Injection,https://github.com/advisories/GHSA-pxqp-mv67-g528
commmander,commander,npm,"(1,)",,4/6/19,Crypto currency miner using coin-hive,Cryptojacking,https://github.com/advisories/GHSA-q42c-rrp3-r3xm
bitcionjs,bitcoinjs,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-qmgf-fp85-55gr
babel-laoder,babel-loader,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-qp6m-jqfr-2f7v
discord-fix,discord.js,npm,"(9, 3)",,20/01/2021,Fake download counts,Malvertising,https://github.com/advisories/GHSA-qv2g-99x4-45x6
reuest,request,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://github.com/advisories/GHSA-r863-p739-275c
bitcoimjs-lib,bitcoinjs-lib,npm,"(2,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-rv6q-p3x7-43fx
blubird,bluebird,npm,"(1,)",,4/6/19,Crypto currency miner using coin-hive,Cryptojacking,https://github.com/advisories/GHSA-rvww-x6m4-4vc2
riped160,ripemd160,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-rwcq-qpm6-7867
bitcoimd-rpc,bitcoind-rpc,npm,"(2,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-rwmv-c7v8-v9vf
js-qha3,js-sha3,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-vf5m-q45w-8mh9
epress,express,npm,"(1,)",,4/6/19,Crypto currency miner using coin-hive,Cryptojacking,https://github.com/advisories/GHSA-vf8q-pw7h-r2x2
bubfer-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-vm67-mh96-95mq
scryptys,scryptsy,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-vrxj-4qhw-5vwq
scrytsy,scryptsy,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-vv7g-pjw9-4qj9
babel-loadre,babel-loader,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-vvfh-mvjv-w38q
hpmm,hpm,npm,"(1,)",,12/7/19,Upload system info,Stealing,https://github.com/advisories/GHSA-vxfp-qmpq-6826
bufder-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-w9q5-mvc6-5cw3
rrequest,request,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://github.com/advisories/GHSA-wc7q-qpm4-8pqv
buvfer-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-wjpj-gmc3-5w56
jq-sha3,js-sha3,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://github.com/advisories/GHSA-x8m7-cv39-xmg9
bictoin-ops,bitcoin-ops,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-xrrg-wfwc-c7r3
codemodel,@autorest/codemodel,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
extension-base,@autorest/extension-base,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
modelerfour,@autorest/modelerfour,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
testmodeler,@autorest/testmodeler,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
agrifood-farming,@azure-rest/agrifood-farming,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
ai-document-translator,@azure-rest/ai-document-translator,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
confidential-ledger,@azure-rest/confidential-ledger,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
iot-device-update-1,@azure-rest/iot-device-update,npm,"(11,4)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
purview-administration,@azure-rest/purview-administration,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
purview-catalog,@azure-rest/purview-catalog,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
purview-scanning,@azure-rest/purview-scanning,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
cadl-autorest,@azure-tools/cadl-autorest,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
cadl-azure-core,@azure-tools/cadl-azure-core,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
cadl-azure-resource-manager,@azure-tools/cadl-azure-resource-manager,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
cadl-providerhub,@azure-tools/cadl-providerhub,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
cadl-providerhub-controller,@azure-tools/cadl-providerhub-controller,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
communication-short-codes,@azure-tools/communication-short-codes,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
deduplication,@azure-tools/deduplication,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
oai2-to-oai3,@azure-tools/oai2-to-oai3,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
ai-anomaly-detector,@azure/ai-anomaly-detector,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-advisor,@azure/arm-advisor,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-analysisservices,@azure/arm-analysisservices,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-apimanagement,@azure/arm-apimanagement,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-appconfiguration,@azure/arm-appconfiguration,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
