supports-color
debug
semver
chalk
ansi-styles
kind-of
source-map
ms
has-flag
tslib
color-convert
color-name
strip-ansi
ansi-regex
readable-stream
type-fest
string-width
find-up
commander
safe-buffer
string_decoder
@babel/types
define-property
p-locate
locate-path
is-fullwidth-code-point
yargs-parser
yargs
extend-shallow
get-stream
uuid
p-limit
camelcase
acorn
@types/node
lru-cache
escape-string-regexp
wrap-ansi
ajv
schema-utils
yallist
inherits
is-number
postcss
punycode
isobject
qs
path-exists
fs-extra
resolve-from
rimraf
isarray
cliui
estraverse
glob-parent
pify
glob
is-glob
emoji-regex
micromatch
braces
json5
fill-range
cross-spawn
ws
mkdirp
@babel/code-frame
is-data-descriptor
is-descriptor
resolve
is-accessor-descriptor
json-schema-traverse
which
async
execa
postcss-value-parser
is-extendable
globby
to-regex-range
globals
y18n
http-errors
mime
pkg-dir
webidl-conversions
ignore
normalize-path
make-dir
loader-utils
lodash
iconv-lite
js-yaml
parse-json
minimatch
is-stream
eslint-visitor-keys
form-data
p-try
@babel/generator
path-type
universalify
path-key
anymatch
mime-db
graceful-fs
@jest/types
jsonfile
shebang-command
shebang-regex
buffer
core-js
bytes
chokidar
@babel/parser
slash
pump
minimist
mime-types
argparse
jsesc
whatwg-url
@babel/helper-plugin-utils
setprototypeof
@babel/helper-validator-identifier
@babel/highlight
strip-bom
regenerator-runtime
readdirp
@babel/runtime
browserslist
@babel/core
@types/yargs
tough-cookie
balanced-match
eslint-scope
strip-json-comments
core-util-is
@babel/traverse
tr46
optionator
postcss-selector-parser
is-extglob
rxjs
fast-deep-equal
npm-run-path
doctrine
mimic-fn
read-pkg
type-check
cosmiconfig
levn
ieee754
binary-extensions
@babel/template
prelude-ls
p-map
is-buffer
source-map-support
is-arrayish
onetime
react-is
bn.js
node-fetch
is-plain-object
slice-ansi
has-values
esprima
has-value
fsevents
pretty-format
is-binary-path
ini
ansi-escapes
signal-exit
brace-expansion
jest-worker
read-pkg-up
path-to-regexp
es-abstract
electron-to-chromium
ci-info
js-tokens
array-union
@babel/helper-split-export-declaration
@babel/helper-get-function-arity
depd
normalize-url
once
has-symbols
@babel/helper-function-name
picomatch
convert-source-map
get-caller-file
caniuse-lite
callsites
is-wsl
cookie
fast-glob
wrappy
hosted-git-info
raw-body
import-fresh
find-cache-dir
agent-base
concat-map
sax
diff
array-flatten
node-releases
chownr
safer-buffer
statuses
fs.realpath
path-is-absolute
inflight
indent-string
object-inspect
uri-js
domelementtype
process-nextick-args
serialize-javascript
typescript
buffer-from
@babel/helper-module-imports
@babel/helper-module-transforms
figures
is-core-module
is-regex
util-deprecate
base64-js
write-file-atomic
sprintf-js
eslint-utils
cssom
https-proxy-agent
esutils
parse5
@babel/helpers
is-plain-obj
acorn-walk
object-assign
restore-cursor
util
@nodelib/fs.stat
ansi-colors
@babel/helper-simple-access
to-fast-properties
fast-json-stable-stringify
cli-cursor
follow-redirects
tmp
end-of-stream
has
jest-util
events
path-parse
domutils
function-bind
prettier
entities
object.assign
through2
is-callable
dir-glob
decamelize
normalize-package-data
toidentifier
escodegen
terser-webpack-plugin
object-keys
@babel/helper-member-expression-to-functions
require-directory
jest-get-type
@babel/compat-data
lowercase-keys
@babel/helper-replace-supers
deep-is
isexe
@babel/helper-compilation-targets
@babel/helper-hoist-variables
terser
extsprintf
colors
cacache
fast-levenshtein
axios
negotiator
is-path-inside
combined-stream
dom-serializer
log-symbols
ajv-keywords
escalade
human-signals
ipaddr.js
source-map-resolve
get-intrinsic
content-disposition
@babel/helper-optimise-call-expression
imurmurhash
arr-diff
