adv_pkg,base_pkg,category,typomind_cat
groc, grpc, Common Typos,{'1-step D-L dist': 1}
od, os, Common Typos,NA
json-filter, jsonfilter, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
json-filter, jsonfilter, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
react-media-hook2, react-media-hook, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
cont, conf, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
formdata, form-data, Omitted Characters,{'delimiter modification': 1}
ghpages, gh-pages, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
ice, ics, Common Typos,NA
jsolines, jsonlines, Omitted Characters,{'1-step D-L dist': 1}
etz, eta, Common Typos,NA
react-inline-svg, react-svg-inline, Swapped Words,{'sequence reordering': 1}
react-inline-svg, react-inlinesvg, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
xe-core, axe-core, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
promise-middleware-redux, redux-promise-middleware, Swapped Words,{'sequence reordering': 1}
iterate, iterare, Common Typos,NA
through3, through2, Common Typos,{'1-step D-L dist': 1}
through3, through, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
sync, async, Omitted Characters,{'1-step D-L dist': 1}
herd, here, Common Typos,{'1-step D-L dist': 1}
count, ccount, Omitted Characters,{'1-step D-L dist': 1}
globale, globals, Common Typos,{'1-step D-L dist': 1}
typson, typeson, Omitted Characters,{'1-step D-L dist': 1}
event, events, Omitted Characters,NA
await, waait, Swapped Characters,{'1-step D-L dist': 1}
async-kit, asynckit, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
async-kit, asynckit, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
typescript-guid, guid-typescript, Swapped Words,{'sequence reordering': 1}
react-focus-trap, focus-trap-react, Swapped Words,{'sequence reordering': 1}
react-native-webview2, react-native-webview, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
sobject, isobject, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
trmi, trim, Swapped Characters,NA
utils, utila, Common Typos,{'1-step D-L dist': 1}
object.filter, object-filter, Swapped Words,{'delimiter modification': 1}
object.filter, object-filter, Common Typos,{'delimiter modification': 1}
comb, tcomb, Omitted Characters,{'1-step D-L dist': 1}
hexrgb, hex-rgb, Omitted Characters,NA
http-client, http2-client, Omitted Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
cookieparser, cookie-parser, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
yaml-jest-transform, jest-transform-yaml, Swapped Words,NA
qrjs, qr.js, Omitted Characters,NA
passport-cognito-oauth2, cognito-passport-oauth2, Swapped Words,NA
react-tool, react-tools, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
parent, parents, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
koa-session3, koa-session, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
super-json, superjson, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
super-json, superjson, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
stream-filter, streamfilter, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
stream-filter, streamfilter, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
paip, papi, Swapped Characters,{'1-step D-L dist': 1}
@npm/types, @pnpm/types, Omitted Characters,{'scope confusion': 1}
itertools, iter-tools, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
is-js, is_js, Swapped Words,{'delimiter modification': 1}
is-js, is_js, Common Typos,{'delimiter modification': 1}
rx-js, rxjs, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
rx-js, rxjs, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
normaliz, normalizr, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
swai, sway, Common Typos,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
ytility, utility, Common Typos,{'1-step D-L dist': 1}
req, re2, Common Typos,NA
doctrine2, doctrine, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
node-sdm, node-adm, Common Typos,{'1-step D-L dist': 1}
0auth, oauth, Common Typos,"{'1-step D-L dist': 1, 'homographic replacement': 1}"
loggy, loggly, Omitted Characters,{'1-step D-L dist': 1}
load-js, loadjs, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
load-js, loadjs, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
modlo, modelo, Omitted Characters,{'1-step D-L dist': 1}
md, ms, Common Typos,NA
mash, nash, Common Typos,"{'1-step D-L dist': 1, 'homographic replacement': 1}"
require-json, require-json5, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
min.css, cssmin, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1, 'sequence reordering': 1}"
hext, next, Common Typos,{'1-step D-L dist': 1}
log1, log, Version Number,{'prefix/ suffix augmentation': 1}
koa-session2, koa-session, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
getit, get-it, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
bootbox4, bootbox, Version Number,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
murmur-hash-js, murmurhash-js, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
binarysearch, binary-search, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
trid, trix, Common Typos,{'1-step D-L dist': 1}
random-word, random-words, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
glib, glob, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
webworker, web-worker, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
thunk, thunky, Omitted Characters,{'1-step D-L dist': 1}
nraw, unraw, Omitted Characters,"{'simplification': 1, '1-step D-L dist': 1}"
loop, lop, Repeated Characters,NA
tunk, tfunk, Omitted Characters,{'1-step D-L dist': 1}
zrgs, args, Common Typos,{'1-step D-L dist': 1}
lupa, pupa, Common Typos,{'1-step D-L dist': 1}
jeet, jest, Common Typos,{'1-step D-L dist': 1}
express-sesssion, express-session, Repeated Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
mg-table, ng-table, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
stream-replace, replacestream, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1, 'sequence reordering': 1}"
maho, majo, Common Typos,{'1-step D-L dist': 1}
laxy, lazy, Common Typos,{'1-step D-L dist': 1}
eslit, eslint, Omitted Characters,NA
gulp-eslit, gulp-eslint, Omitted Characters,{'1-step D-L dist': 1}
elv, dlv, Common Typos,NA
react-input-currency, react-currency-input, Swapped Words,{'sequence reordering': 1}
csvparser, csv-parser, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
typed-js, typed.js, Swapped Words,{'delimiter modification': 1}
typed-js, typed.js, Common Typos,{'delimiter modification': 1}
path.join, join-path, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1}"
topl, topo, Common Typos,{'1-step D-L dist': 1}
cpf, cpr, Common Typos,NA
rmrf, rmfr, Swapped Characters,{'1-step D-L dist': 1}
ispromise, is-promise, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
promis, promise, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
mwp-config, map-config, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
vue-select2, vue-select, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
object-pick, object.pick, Swapped Words,{'delimiter modification': 1}
object-pick, object.pick, Common Typos,{'delimiter modification': 1}
gifencoder, gif-encoder, Omitted Characters,{'delimiter modification': 1}
react-star-rating, react-star-ratings, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
flat-map, flatmap, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
flat-map, flatmap, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
spectrum-colorpicker2, spectrum-colorpicker, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
facet, faucet, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
react-mathjax2, react-mathjax, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
dep-diff, deep-diff, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
datatables.net-fixedheader-bs5, datatables.net-fixedheader-bs4, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
enzyme-adapter-react-16.3, enzyme-adapter-react-16, Version Number,{'1-step D-L dist': 2}
node-mailer, nodemailer, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
node-mailer, nodemailer, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
es6-template-string, es6-template-strings, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
url-lib, urllib, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
url-lib, urllib, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
datatables.net-scroller-bs, datatables.net-scroller-bs4, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
use-sse, use-ssr, Common Typos,{'1-step D-L dist': 1}
lrumap, lru_map, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
hock, nock, Common Typos,{'1-step D-L dist': 1}
react-animation, react-animations, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
normalize, normalizr, Common Typos,{'1-step D-L dist': 1}
adminlte, admin-lte, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
desktop-screenshot, screenshot-desktop, Swapped Words,{'sequence reordering': 1}
twind, twine, Common Typos,{'1-step D-L dist': 1}
jest-vue, vue-jest, Swapped Words,{'sequence reordering': 1}
merge-package-json, merge-package.json, Common Typos,{'delimiter modification': 1}
react-hook-intersection-observer, react-intersection-observer-hook, Swapped Words,NA
html-parser, htmlparser, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
html-parser, htmlparser, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
file-reader, filereader, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
file-reader, filereader, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
adler32, adler-32, Omitted Characters,{'delimiter modification': 1}
hex2rgb, hex2rgba, Omitted Characters,{'1-step D-L dist': 1}
syncrequest, sync-request, Omitted Characters,{'delimiter modification': 1}
emitter, emittery, Omitted Characters,{'1-step D-L dist': 1}
electron-is, is-electron, Swapped Words,{'sequence reordering': 1}
rollup-plugin-cpy, rollup-plugin-copy, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
eval5, eval, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
strip, stripe, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
mergee, merge, Repeated Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
shq, sha, Common Typos,{'homographic replacement': 1}
template, templates, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
tick, ticky, Omitted Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
chown, chownr, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
byte-buffer, bytebuffer, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
byte-buffer, bytebuffer, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
request-sync, sync-request, Swapped Words,{'sequence reordering': 1}
log4, log, Version Number,{'prefix/ suffix augmentation': 1}
vues, vuex, Common Typos,{'1-step D-L dist': 1}
lune, lunr, Common Typos,{'1-step D-L dist': 1}
list, plist, Omitted Characters,{'1-step D-L dist': 1}
list, lost, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
rmdi, rmdir, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
isuri, is-uri, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
isuri, isurl, Common Typos,"{'1-step D-L dist': 1, 'homographic replacement': 1}"
kimp, jimp, Common Typos,{'1-step D-L dist': 1}
ytsearch, yt-search, Omitted Characters,{'delimiter modification': 1}
kebabcase, kebab-case, Omitted Characters,{'delimiter modification': 1}
deep-merge, deepmerge, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
deep-merge, deepmerge, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
commmander, commander, Repeated Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
signal, signale, Omitted Characters,{'1-step D-L dist': 1}
import-loader, imports-loader, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
cejs, csjs, Common Typos,{'1-step D-L dist': 1}
utilz, utila, Common Typos,{'1-step D-L dist': 1}
reaml, realm, Swapped Characters,{'1-step D-L dist': 1}
smp, amp, Common Typos,NA
xtring, string, Common Typos,{'1-step D-L dist': 1}
array-ext, array-next, Omitted Characters,{'1-step D-L dist': 1}
node-q, node-jq, Omitted Characters,{'1-step D-L dist': 1}
urljs, urijs, Common Typos,"{'1-step D-L dist': 1, 'homographic replacement': 1}"
cli-colors, colors-cli, Swapped Words,{'sequence reordering': 1}
downloads, downloadjs, Omitted Characters,{'1-step D-L dist': 1}
require-uncache, require-uncached, Omitted Characters,{'1-step D-L dist': 1}
subsink2, subsink, Version Number,"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 1}"
json-parse-safe, safe-json-parse, Swapped Words,{'sequence reordering': 1}
eslint-config-standard-js, eslint-config-standard-jsx, Omitted Characters,{'1-step D-L dist': 1}
bitmask, bit-mask, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
script-load, load-script, Swapped Words,{'sequence reordering': 1}
out, put, Common Typos,NA
oe-utils, os-utils, Common Typos,NA
css-font-parser, cssfontparser, Swapped Words,"{'1-step D-L dist': 2, 'delimiter modification': 1}"
objectdiff, object-diff, Omitted Characters,{'delimiter modification': 1}
contenttype, content-type, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
qemitter, mqemitter, Omitted Characters,"{'simplification': 1, '1-step D-L dist': 1}"
regexp-escape, escape-regexp, Swapped Words,{'sequence reordering': 1}
npm-install, npminstall, Swapped Words,NA
npm-install, npminstall, Common Typos,NA
supervizor, supervisor, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
jsonsocket, json-socket, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
js-class, is-class, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
prisma2, prisma, Version Number,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1, 'homophonic similarity': True}"
memcache, memcached, Omitted Characters,{'1-step D-L dist': 1}
lnk, ink, Common Typos,{'homographic replacement': 1}
opta, opts, Common Typos,{'1-step D-L dist': 1}
path-object, object-path, Swapped Words,{'sequence reordering': 1}
jsdk, jsck, Common Typos,{'1-step D-L dist': 1}
parser-html-react, html-react-parser, Swapped Words,{'sequence reordering': 1}
utils-merge2, utils-merge, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
uglifyjs-webpack-plugin2, uglifyjs-webpack-plugin, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
loads, loadjs, Omitted Characters,{'1-step D-L dist': 1}
readdir-recursive, recursive-readdir, Swapped Words,{'sequence reordering': 1}
country-flags-svg, svg-country-flags, Swapped Words,{'sequence reordering': 1}
babel-plugin-external-helpers-2, babel-plugin-external-helpers, Version Number,NA
qr-js, qr.js, Swapped Words,{'delimiter modification': 1}
qr-js, qr.js, Common Typos,{'delimiter modification': 1}
sort-package-json3, sort-package-json, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
jsedn, jsend, Swapped Characters,{'1-step D-L dist': 1}
nn.js, bn.js, Common Typos,{'1-step D-L dist': 1}
regex-emoji, emoji-regex, Swapped Words,{'sequence reordering': 1}
utils-dom, domutils, Swapped Words,"{'sequence reordering': 1, '1-step D-L dist': 1, 'delimiter modification': 1}"
path-resolve, resolve-path, Swapped Words,{'sequence reordering': 1}
liste, listr, Common Typos,{'1-step D-L dist': 1}
youtube-react, react-youtube, Swapped Words,{'sequence reordering': 1}
modit, jodit, Common Typos,{'1-step D-L dist': 1}
noot, not, Repeated Characters,NA
noot, nopt, Common Typos,{'1-step D-L dist': 1}
h, n, Common Typos,NA
kri, mri, Common Typos,NA
babel-preset-es2105, babel-preset-es2015, Swapped Characters,{'1-step D-L dist': 1}
clssx, clsx, Repeated Characters,{'1-step D-L dist': 1}
deepmerge2, deepmerge, Version Number,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
loog, log, Repeated Characters,NA
dc-util, rc-util, Common Typos,{'1-step D-L dist': 1}
childprocess, child_process, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
node-promisify, promisify-node, Swapped Words,{'sequence reordering': 1}
causal, casual, Swapped Characters,{'1-step D-L dist': 1}
on-scroll, no-scroll, Swapped Characters,{'1-step D-L dist': 1}
string-humanize, humanize-string, Swapped Words,{'sequence reordering': 1}
duo, dup, Common Typos,NA
xml-parse, xml-parser, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
hook, hooks, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
commit, commist, Omitted Characters,{'1-step D-L dist': 1}
gulp-change, gulp-changed, Omitted Characters,{'1-step D-L dist': 1}
bat, hat, Common Typos,{'homographic replacement': 1}
react-maps-google, react-google-maps, Swapped Words,{'sequence reordering': 1}
grun, grunt, Omitted Characters,{'1-step D-L dist': 1}
file-watcher, filewatcher, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
file-watcher, filewatcher, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
npm5, npm, Version Number,NA
reqeust, request, Swapped Characters,{'1-step D-L dist': 1}
styled-jss, styled-jsx, Common Typos,{'1-step D-L dist': 1}
clarity, clarify, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
clear-console, console-clear, Swapped Words,NA
base-emoji, emojibase, Swapped Words,"{'delimiter modification': 1, 'sequence reordering': 1, '1-step D-L dist': 1}"
vpdate, update, Common Typos,{'1-step D-L dist': 1}
gec, gex, Common Typos,NA
react-json-schema-form, react-jsonschema-form, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
eest, rest, Common Typos,{'1-step D-L dist': 1}
ibmwatson, ibm-watson, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
time-keeper, timekeeper, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
time-keeper, timekeeper, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
url-valid, valid-url, Swapped Words,{'sequence reordering': 1}
cs-parser, csv-parser, Omitted Characters,{'1-step D-L dist': 1}
msx-loader, jsx-loader, Common Typos,{'1-step D-L dist': 1}
clonedeep, clone-deep, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
tostr, toastr, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
imdb, lmdb, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
kit, lit, Common Typos,NA
require.fresh, requirefresh, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
require.fresh, requirefresh, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
mopt, nopt, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
node-extend, node.extend, Swapped Words,NA
node-extend, node.extend, Common Typos,NA
jsx, jss, Common Typos,NA
nopy, nopt, Common Typos,{'1-step D-L dist': 1}
cucmber, cucumber, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
shai, sha1, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
rule, rrule, Omitted Characters,{'1-step D-L dist': 1}
sub, usb, Swapped Characters,NA
splitargs2, splitargs, Version Number,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
nedb-promise, nedb-promises, Omitted Characters,NA
ect, ext, Common Typos,NA
box-cat, catbox, Swapped Words,"{'sequence reordering': 1, '1-step D-L dist': 1, 'delimiter modification': 1}"
matchmedia, match-media, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
detectie, detective, Omitted Characters,{'1-step D-L dist': 1}
toch, touch, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
babel-plugin-import-7, babel-plugin-import, Version Number,NA
fdom, from, Common Typos,{'1-step D-L dist': 1}
cherio, cheerio, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
refx, regx, Common Typos,{'1-step D-L dist': 1}
ls, is, Common Typos,{'homographic replacement': 1}
logg, log, Repeated Characters,{'prefix/ suffix augmentation': 1}
logg, glogg, Omitted Characters,"{'simplification': 1, '1-step D-L dist': 1}"
date, xdate, Omitted Characters,{'1-step D-L dist': 1}
yo3, yo, Version Number,NA
fun, run, Common Typos,NA
koa-body-parser, koa-bodyparser, Common Typos,NA
arraybuffer-base64, base64-arraybuffer, Swapped Words,{'sequence reordering': 1}
interset, intersect, Omitted Characters,{'1-step D-L dist': 1}
length-stream, stream-length, Swapped Words,{'sequence reordering': 1}
murmur-hash, murmurhash, Swapped Words,NA
murmur-hash, murmurhash, Common Typos,NA
pen, pem, Common Typos,{'homographic replacement': 1}
string-stream, stringstream, Swapped Words,NA
string-stream, stringstream, Common Typos,NA
mongod, mongodb, Omitted Characters,NA
leapjs, ldapjs, Common Typos,NA
nc, nx, Common Typos,NA
fmd, dmd, Common Typos,NA
react-chartjs2, react-chartjs-2, Omitted Characters,NA
see, sse, Common Typos,NA
token, gtoken, Omitted Characters,NA
ts-factory, factory.ts, Swapped Words,NA
passport-token-auth, passport-auth-token, Swapped Words,NA
ngx-highlight-js, ngx-highlightjs, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
pupeteer, puppeteer, Omitted Characters,NA
vue-portal, portal-vue, Swapped Words,NA
vue-chart-js, vue-chartjs, Common Typos,NA
path-absolute, absolute-path, Swapped Words,{'sequence reordering': 1}
tryrequire, try-require, Omitted Characters,NA
karka, karma, Common Typos,NA
object-extend, extend-object, Swapped Words,{'sequence reordering': 1}
retry-promise, promise-retry, Swapped Words,NA
argy, argh, Common Typos,{'1-step D-L dist': 1}
htl-loader, html-loader, Omitted Characters,NA
nest-logger, next-logger, Common Typos,NA
react-timepicker, react-time-picker, Omitted Characters,NA
promise-cancelable, cancelable-promise, Swapped Words,NA
form-data2, form-data, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
dm5, md5, Swapped Characters,NA
blamejs, blakejs, Common Typos,NA
gtts, gts, Repeated Characters,NA
latex, katex, Common Typos,{'1-step D-L dist': 1}
big-decimal, bigdecimal, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
big-decimal, bigdecimal, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
serialize, serializr, Common Typos,{'1-step D-L dist': 1}
momnet, moment, Swapped Characters,{'1-step D-L dist': 1}
ashify, dashify, Omitted Characters,{'1-step D-L dist': 1}
node-oauth, node-oauth1, Omitted Characters,{'1-step D-L dist': 1}
set-prototype-of, setprototypeof, Swapped Words,"{'1-step D-L dist': 2, 'delimiter modification': 1}"
dom-js, jsdom, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
ontime, onetime, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
ng2-datepicker, ng2-date-picker, Omitted Characters,{'delimiter modification': 1}
react-router-3, react-router, Version Number,{'1-step D-L dist': 2}
nmp, npm, Swapped Characters,NA
react-native-rte, react-native-rate, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
parseunit, parse-unit, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
9, i, Common Typos,NA
crypt3, crypt, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
node-ps, ps-node, Swapped Words,{'sequence reordering': 1}
wss, ws, Repeated Characters,{'grammatical substitution': True}
wss, qss, Common Typos,NA
fors, cors, Common Typos,{'1-step D-L dist': 1}
onno, ono, Repeated Characters,NA
espress, express, Common Typos,{'1-step D-L dist': 1}
cssx, csx, Repeated Characters,NA
webfonts-generator2, webfonts-generator, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
react-semantic-ui, semantic-ui-react, Swapped Words,{'sequence reordering': 1}
bit-state, git-state, Common Typos,{'1-step D-L dist': 1}
mine, mime, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
haml, yaml, Common Typos,{'1-step D-L dist': 1}
jsonschema7, jsonschema, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
pkgresolve, pkg-resolve, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
csv-to-json, csvtojson, Swapped Words,"{'1-step D-L dist': 2, 'delimiter modification': 1}"
autochangelog, auto-changelog, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
shortuuid, short-uuid, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
redislock, redis-lock, Omitted Characters,{'delimiter modification': 1}
template-string, string-template, Swapped Words,NA
unique-array, array-unique, Swapped Words,{'sequence reordering': 1}
d8, c8, Common Typos,NA
d8, d, Version Number,NA
koa-request-id, koa-requestid, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
sprintfjs, sprintf-js, Omitted Characters,{'delimiter modification': 1}
date_format, dateformat, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
date_format, dateformat, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
graphql-scalar, graphql-scalars, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
epress, express, Omitted Characters,{'1-step D-L dist': 1}
levenshtein-damerau, damerau-levenshtein, Swapped Words,{'sequence reordering': 1}
vue3-touch-events, vue2-touch-events, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
jest-nunit-reporter, jest-junit-reporter, Common Typos,{'1-step D-L dist': 1}
version_compare, compare-version, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1}"
version_compare, version-compare, Common Typos,{'delimiter modification': 1}
handlebars-helper, handlebars-helpers, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
strip_tags, striptags, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
strip_tags, striptags, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
linkedlist, linked-list, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
redux-notification, redux-notifications, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
tld.js, tldjs, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
tld.js, tldjs, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
oss, os, Repeated Characters,NA
oss, oas, Common Typos,NA
axois, axios, Swapped Characters,{'1-step D-L dist': 1}
markdown-it-task-list, markdown-it-task-lists, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
graphql-types, graphql-typed, Common Typos,{'1-step D-L dist': 1}
update-notifier2, update-notifier, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
latest-version2, latest-version, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
