adv_pkg,base_pkg,category,typomind_cat
exif, exifr, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
jsonparser, json-parser, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
akv, ajv, Common Typos,NA
is-function-x, x-is-function, Swapped Words,{'sequence reordering': 1}
is-array-x, x-is-array, Swapped Words,NA
eckey, ec-key, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
json8, json, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
method, methods, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
witch, zwitch, Omitted Characters,NA
loadsh, loadash, Omitted Characters,{'1-step D-L dist': 1}
loadsh, lodash, Swapped Characters,{'1-step D-L dist': 1}
dslint, dtslint, Omitted Characters,{'1-step D-L dist': 1}
dslint, eslint, Common Typos,{'1-step D-L dist': 1}
match-it, matchit, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
match-it, matchit, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
ansy, ansi, Common Typos,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
promise-nodify, promise-nodeify, Omitted Characters,{'1-step D-L dist': 1}
jssip, jszip, Common Typos,{'1-step D-L dist': 1}
redux-orm, redux-form, Omitted Characters,{'1-step D-L dist': 1}
regexp.escape, escape-regexp, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1}"
urlparse, url-parse, Omitted Characters,{'delimiter modification': 1}
bncode, bencode, Omitted Characters,{'1-step D-L dist': 1}
normalize-css, normalize-scss, Omitted Characters,"{'1-step D-L dist': 1, 'semantic substitution': 1, 'homophonic similarity': True}"
normalize-css, normalize.css, Swapped Words,{'delimiter modification': 1}
normalize-css, normalize.css, Common Typos,{'delimiter modification': 1}
usher, pusher, Omitted Characters,{'1-step D-L dist': 1}
js-priority-queue, priorityqueuejs, Swapped Words,"{'sequence reordering': 1, '1-step D-L dist': 2, 'delimiter modification': 1}"
fast-list, fast-plist, Omitted Characters,{'1-step D-L dist': 1}
wit, wif, Common Typos,{'homographic replacement': 1}
bignum-browserify, browserify-bignum, Swapped Words,{'sequence reordering': 1}
exec, execa, Omitted Characters,{'1-step D-L dist': 1}
socketio, socket.io, Omitted Characters,{'delimiter modification': 1}
exclude-arr, arr-exclude, Swapped Words,{'sequence reordering': 1}
days, dayjs, Omitted Characters,{'1-step D-L dist': 1}
parse-it, parse-int, Omitted Characters,{'1-step D-L dist': 1}
pluralise, pluralize, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
sprint, sprintf, Omitted Characters,{'1-step D-L dist': 1}
ngx-countdown-2, ngx-countdown, Version Number,"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
pretty-cli, prettycli, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
pretty-cli, prettycli, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
api-npm, npm-api, Swapped Words,{'sequence reordering': 1}
locale2, locale, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
cline, clone, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
typr, type, Common Typos,{'1-step D-L dist': 1}
p-stream, o-stream, Common Typos,{'1-step D-L dist': 1}
diffhtml, diff2html, Omitted Characters,{'1-step D-L dist': 1}
react-proptypes, react-prop-types, Omitted Characters,{'delimiter modification': 1}
coap, clap, Common Typos,{'1-step D-L dist': 1}
requiredir, require-dir, Omitted Characters,{'delimiter modification': 1}
